"";"Fechas";"DriveIDs";"idTemp$name"
"85";2013-02-01;"1Lu40HttFp9oF1U1OA6IX9szDVqzZYcOJ";"Temperaturas2013-02-01.tif"
"86";2013-01-01;"1ahocEl1ghUV2i3zdyPz3yObHRl97dGnr";"Temperaturas2013-01-01.tif"
"87";2012-12-01;"1rfm2jIjq8pK0wqwfuJzHjRsOplYTsWkR";"Temperaturas2012-12-01.tif"
"88";2012-11-01;"1fXLEffignwr_xTY5FE767n-59inx36es";"Temperaturas2012-11-01.tif"
"89";2012-10-01;"16IB5sY0LD7zYOGIeoNNHtf7SIVjLJtTQ";"Temperaturas2012-10-01.tif"
"90";2012-09-01;"1R6l2wWPLqFmk48P5YiZ4MMZ_0qUbQ6OZ";"Temperaturas2012-09-01.tif"
"91";2012-08-01;"1cGrzXKCA2kHhHczYHCiWT30OCLHd4uYf";"Temperaturas2012-08-01.tif"
"92";2012-07-01;"1aqE8fQqO9xgVjKBDMXO-FSwxYElBzLpq";"Temperaturas2012-07-01.tif"
"93";2012-06-01;"1rCAnIVRh306gJ5hOXX9Hw__AXyS1dgGP";"Temperaturas2012-06-01.tif"
"94";2012-05-01;"1iI1Lvs3uYr4pFDyXMcGkBU_XGb_jvvlh";"Temperaturas2012-05-01.tif"
"95";2012-04-01;"1sOoIHJZxAmOPPDDl0pyOMN9VX0OCOpQ6";"Temperaturas2012-04-01.tif"
"96";2012-03-01;"1SpVt4Zp2tdL9ir7TT4rNCDdu_ksAmFx1";"Temperaturas2012-03-01.tif"
"97";2012-02-01;"1mAHAkUofSq4u2JStBA6T-O3RnaZk1sv3";"Temperaturas2012-02-01.tif"
"98";2012-01-01;"1YCS1kwO2FxqpuWBjpJVq0z4WhFJSLxke";"Temperaturas2012-01-01.tif"
"99";2011-12-01;"1TUpUJUTrg_unhNplkHhC1KJBCdIx6gvQ";"Temperaturas2011-12-01.tif"
"100";2011-11-01;"1d2R9QmwKSueOCM9pVvJch6QqYHxORi83";"Temperaturas2011-11-01.tif"
"101";2011-10-01;"1ZX8rpSGwA6SngWB2EWqBbvyDTTwU74Pq";"Temperaturas2011-10-01.tif"
"102";2011-09-01;"15_iEJmO0jpgzvxdm3trSOqyfYHWHfALG";"Temperaturas2011-09-01.tif"
"103";2011-08-01;"19ZQyojJ46ICvhSg-ymNQH5uaEQtcjEfm";"Temperaturas2011-08-01.tif"
"104";2011-07-01;"1Qb6XWSB0KQU0AXqK9FL0bh8dTeF8TldQ";"Temperaturas2011-07-01.tif"
"105";2011-06-01;"1ExRaDR66DnDvgvfjtwnqdVoL2f0lfyOn";"Temperaturas2011-06-01.tif"
"106";2011-05-01;"1ZUIUQJfasaNfJX0sXIxaEmMEORpz3_wp";"Temperaturas2011-05-01.tif"
"107";2011-04-01;"1Tf5I7-j5CZgbxN0R0rmcieUlChxPQIVE";"Temperaturas2011-04-01.tif"
"108";2011-03-01;"1OFSZkwEYWZutV2dlKU144D0GPq1kiKCw";"Temperaturas2011-03-01.tif"
"109";2011-02-01;"1FLyniDb26dofXpgUr7n4_YYp7_vkZiY1";"Temperaturas2011-02-01.tif"
"110";2011-01-01;"119Xzcmo2fOSX580CdEwbvKFIxPlzPk7b";"Temperaturas2011-01-01.tif"
"111";2010-12-01;"1KdH1bREywd9NcW-tsXgSTOrvDx5VMQSn";"Temperaturas2010-12-01.tif"
"112";2010-11-01;"1d1FW25LauwNGn0FBQJ-yUiVDpPGNX1yQ";"Temperaturas2010-11-01.tif"
"113";2010-10-01;"1-Cu51mpYPvIqiXoJHG8vJr9L-ygbMtvq";"Temperaturas2010-10-01.tif"
"114";2010-09-01;"1ZkZVuD1Y7zn8Uj_yiLIgC2Q3ycq8lmYY";"Temperaturas2010-09-01.tif"
"115";2010-08-01;"1ZdOPSL-xpvdoRYedcqOrFksMFMTd5ZrR";"Temperaturas2010-08-01.tif"
"116";2010-07-01;"1UjtRslaLrknngrD6q4wmCRjMrziR29UG";"Temperaturas2010-07-01.tif"
"117";2010-06-01;"1oDGXNjA6wIBpIW_tnSKgt5GyzulOiaFt";"Temperaturas2010-06-01.tif"
